Timestamp,RunIndex,ScenarioID,TotalAgents,VisibleSignCount,SignHeight,SignPositionX,SignPositionZ,SignOrientation,VcaAngle,VcaDistance,SignComprehensionTime,AgentID,AgentType,StartNode,GoalNode,Height,EyeHeight,TimeInVCA,TimesInVCA,SawSign,TotalNodesNavigated,NodesWithDetection,RDEffective
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150758,WheelchairAgent(Clone),10,12,1.3,1.17,9.448242,1,False,3,0,0
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150759,AdultFemaleAgent(Clone),10,12,1.58,1.45,8.360352,1,False,3,0,0
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150760,AdultFemaleAgent(Clone),7,11,1.58,1.450001,0,0,False,2,0,0
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150761,WheelchairAgent(Clone),6,12,1.3,1.17,5.126953,1,False,2,1,0.5
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150762,WheelchairAgent(Clone),6,12,1.3,1.17,6.415039,1,True,2,1,0.5
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150763,AdultMaleAgent(Clone),6,12,1.71,1.58,7.244141,1,True,2,1,0.5
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150764,AdultFemaleAgent(Clone),10,12,1.58,1.45,9.358398,1,False,3,0,0
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150765,AdultMaleAgent(Clone),5,10,1.71,1.58,7.814453,1,True,2,1,0.5
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150766,WheelchairAgent(Clone),5,10,1.3,1.17,7.384766,1,True,2,1,0.5
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150767,AdultMaleAgent(Clone),5,10,1.71,1.58,10.27441,1,True,2,1,0.5
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150768,WheelchairAgent(Clone),7,11,1.3,1.17,0,0,False,2,0,0
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150769,AdultFemaleAgent(Clone),5,10,1.58,1.45,7.460938,1,True,2,1,0.5
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150770,AdultMaleAgent(Clone),10,12,1.71,1.58,9.413086,1,False,3,0,0
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150771,WheelchairAgent(Clone),11,10,1.3,1.17,11.33398,1,True,3,1,0.3333333
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150772,AdultMaleAgent(Clone),6,12,1.71,1.58,7.280273,1,True,2,1,0.5
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150773,WheelchairAgent(Clone),5,10,1.3,1.17,5.797852,1,False,2,1,0.5
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150774,AdultMaleAgent(Clone),10,12,1.71,1.58,8.025391,1,False,3,0,0
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150775,AdultMaleAgent(Clone),10,12,1.71,1.58,10.77734,1,False,3,1,0.3333333
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150776,AdultFemaleAgent(Clone),10,12,1.58,1.45,8.006836,1,False,3,0,0
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150777,AdultFemaleAgent(Clone),5,10,1.58,1.45,7.126953,1,True,2,1,0.5
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150778,WheelchairAgent(Clone),11,10,1.3,1.17,10.01367,1,True,3,1,0.3333333
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150779,AdultMaleAgent(Clone),5,10,1.71,1.58,10.50684,1,True,2,1,0.5
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150780,AdultFemaleAgent(Clone),7,11,1.58,1.450001,0,0,False,2,0,0
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150781,AdultMaleAgent(Clone),7,11,1.71,1.58,0,0,False,2,0,0
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150782,AdultFemaleAgent(Clone),7,11,1.58,1.450001,0,0,False,2,0,0
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150783,WheelchairAgent(Clone),7,11,1.3,1.17,0,0,False,2,0,0
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150784,AdultMaleAgent(Clone),5,10,1.71,1.58,8.360352,1,True,2,1,0.5
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150785,AdultMaleAgent(Clone),7,11,1.71,1.58,0,0,False,2,0,0
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150786,WheelchairAgent(Clone),7,11,1.3,1.17,0,0,False,2,0,0
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150787,AdultFemaleAgent(Clone),5,10,1.58,1.45,6.697266,1,True,2,1,0.5
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150788,WheelchairAgent(Clone),6,12,1.3,1.17,8.673828,1,True,2,1,0.5
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150789,WheelchairAgent(Clone),6,12,1.3,1.17,8.395508,1,False,2,0,0
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150790,AdultFemaleAgent(Clone),6,12,1.58,1.45,9.432617,1,True,2,1,0.5
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150791,AdultFemaleAgent(Clone),7,11,1.58,1.450001,0,0,False,2,0,0
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150792,WheelchairAgent(Clone),6,12,1.3,1.17,12.24121,1,True,2,1,0.5
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150793,WheelchairAgent(Clone),6,12,1.3,1.17,7.597656,1,False,2,1,0.5
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150794,WheelchairAgent(Clone),5,10,1.3,1.17,5.833984,1,False,2,1,0.5
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150795,WheelchairAgent(Clone),7,11,1.3,1.17,0,0,False,2,0,0
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150796,WheelchairAgent(Clone),10,12,1.3,1.17,9.493164,1,False,3,1,0.3333333
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150797,AdultFemaleAgent(Clone),5,10,1.58,1.45,7.083984,1,True,2,1,0.5
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150798,AdultMaleAgent(Clone),11,10,1.71,1.58,11.61426,1,True,3,1,0.3333333
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150799,AdultFemaleAgent(Clone),6,12,1.58,1.45,9.198242,1,True,2,1,0.5
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150800,WheelchairAgent(Clone),11,10,1.3,1.17,13.43555,1,True,3,1,0.3333333
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150801,AdultMaleAgent(Clone),7,11,1.71,1.58,0,0,False,2,0,0
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150802,AdultFemaleAgent(Clone),10,12,1.58,1.45,7.915039,1,False,3,0,0
2026-03-06_21.41.02,261,sign-optimization-horizontal-vertical_scenario,578,138,3,-4,6,90,90,15,1,150803,WheelchairAgent(Clone),10,12,1.3,1.17,8.210938,1,False,3,0,0
